	No.	Sentence	label1	label2
3504	4428	Bhaijan love uuu	2	2
2706	3317	4 Baj gaye lekin party abhi baki he	1	1
3173	4091	Ya allah salman agar nahi ana tha to pehle bola kyu thaa	0	0
503	684	nich bhai g	2	2
2786	3499	Please Maaki qasam javab doPlease Maaki qasam javab doPlease Maaki qasam javab doPlease Maaki qasam javab doPlease Maaki qasam javab doPlease Maaki qasam javab doPlease Maaki qasam javab doPlease Maaki qasam javab doPlease Maaki qasam javab doPlease Maaki qasam javab doPlease Maaki qasam javab doPlease Maaki qasam javab do	1	1
517	698	Bhaiya me bhi kuch karna chata hu pliZz 1 chans me Bhai	1	1
3116	4033	sir kya msg krtte kartte mar jau	0	0
449	627	ja rahi hu ek bottle pani pine ab pandey ji khabardar jo issko kabi mere samne laye bhi	0	0
3726	4727	Bakwaas hai bhai..Bas apne movies pey lagao. BB 500 Crore minimum guaranteed!!!	2	2
1453	1841	not bad kya ho rha hai kha ho	1	1
852	1092	Kyu nahi ap eid per ap bolaye or hum na aye hum jaror aye g	1	1
2111	2544	BAJ GYA CHAR	1	1
3773	4785	salman yaar sudhar ja bhai Q krta hai gandi herkate yaar	0	0
2216	2652	chalre sale terishe kon bat karega tu kon hai	1	1
2409	2864	ma na ja ohir bhai ko post office behja ha ap ko kch snd karna k lia.magar pata nhe apka adress tak nhe pata ya pir kia waja ha	1	1
2814	3617	Reply plz bhai	2	2
3762	4771	neeraj kutte.kya majato aayega majato aayenga sale kutte	0	0
2179	2612	bhai roze se hu jaldi aa hao:'( :'( :'(	1	1
1006	1287	Party to tab hogi jab life mein pretty hogi and pretty life hogi and pretty hi my beloved wife hogi	1	1
3230	4148	Salman g kabi roza rakha hi?	1	1
2456	2913	Apna liya toh saab jetha hai dusra kai liya jina wala koh farista kahatai hai	1	1
3493	4417	aapne achha nahi keya	0	0
3145	4063	friends tum sab salman khan ku thaknah chati hu. ...???	1	1
566	751	Salman bhai sirf sohrat kamane se kuch hoga. thoda bahut khuda ko bhi yaad kiya karo.mahe ramjaan bada hi pak aur touba karne vala mahina.plz ibadat bhaijaan	0	0
382	549	india digital bana dena modi sarkar pm	2	2
2243	2681	4 baj chuke hai salman	1	1
980	1253	awsome song bhaijan...	2	2
2562	3044	ab aa bhi jao	2	2
2404	2859	Theek hai bhai bahut hua ~~	1	1
3556	4487	salman bhai bhool gye kya	0	0
3446	4369	pls all frendns wach an the movie bhai ne Yeh harare liya present kiya sab log pls Yeh film dekha yaaya	2	2
1300	1657	bhaijaan aslam valekum	1	1
1555	1965	Radhe bhai aa bhi jaye ..	1	1
2232	2668	Khade khade pak gaya bhai ketna w8 karawoge ?	1	1
1545	1955	bhai 4bje ayenge	1	1
3525	4453	bhai aapki ye movie chhappar far dega ;)	2	2
3120	4037	Aaj kal had koi salman khan banta pherta ha	0	0
3796	4819	kya tha woh u block	1	1
1235	1579	salman bhaijaan...ap ki new movie mein shoot mee mai	1	1
579	765	K bas subha subha uthe aur kasrat karna chaalu	2	2
3409	4331	wee belive u salman	2	2
2450	2907	Bhaijan mere bhabi ko or kitne bakhath samalkhe rakhogeJara mujhe bhi dekhna hay... :)	1	1
1400	1776	Bahan chood teri	0	0
653	843	agr tom na hoty to bollywood ka maza bi na hota haha	2	2
553	736	I Iike and love u salman khan aur ha kya such me aap hamare comment padhte ho aap tv par bol rahe the mai sare comment padhta hu ya u hi fake rahe the bhai ??	2	2
3481	4405	Shopkeeper khai ka	1	1
2677	3254	Ã–nline hoya nahi	1	1
2177	2610	It's 4.3 pm	1	1
3814	4850	Hallo bhaijan kaha ho	1	1
1631	2044	Is mein koi shak nhi ho gi salman bhai ki movie ho or record na ho	2	2
3310	4231	keep calm Salman bhaii....we r alwyzz wid uh...Salmania rockd...haters shockd....love uhhh bhai:-)	2	2
1590	2000	8lez,ap fix tym bta dijiye sir ki kb are ho.ap fb p	1	1
1818	2244	Mile jab the hum tum yaad hai yaa bhul gye	1	1
1639	2054	Bangladesh meh apko chahne bala bohut khub..	2	2
3243	4161	Me bhi ik actor hi hon song and drama se ret.kio ki ghaziabad ho islia miss karonga dilhi hota to zaror dekhta thanks	1	1
812	1040	Salman Bai Agar ap ya Coments par ra han to plz ans b dan ap kasy han Aur rozay kasy guzar raha han.	1	1
3508	4432	Assalam walekum bhai	1	1
3637	4608	Aaj ek se bdkr ek ghatnayen huyi hain pta nhhh kya huwa h...	1	1
754	956	Hai salman bhai	1	1
2486	2945	bhai ne kaha hai ki wo busy hai....6 bje tak	1	1
1461	1850	Isi bahane promote bhi kar lo	1	1
989	1266	voh toh haiiiiii	1	1
2898	3748	kya bat karu ??  Bangladesh main jo Hindu k satha jo horaha hain... baat kar k kya hoga ??	1	1
3345	4266	Ap jesi jaha miljati he fir durghatna ghatjati he	0	0
958	1229	Salman bhai mujhe bhi aana hai	1	1
2646	3174	salman khan ..................................being human ka aslee avtaar. admin aamir ahmed.	1	1
2144	2577	4 baj gaye bhai aab too aao naa plez	1	1
2095	2527	Plss suno na	1	1
2262	2703	kaise krenge yrr// twitter pr ya fb pr sum! tell me	1	1
2751	3407	Ohhhh myy salluuu	2	2
568	754	sarukh or amir khan bhi apke samne fel; he	2	2
2268	2710	bhai india my 4 baj gy	1	1
3629	4599	eid Mubarak ho bahiya	2	2
676	867	Beta salman khbis tera film falop hoga beeee suar	0	0
451	630	meri jaan jo b km krti he vo nice hi hota he	2	2
1135	1452	Bhaijan tumara fon nombar chaie do na eid Mubarak bolne ka	2	2
3581	4518	Musalmano plz open ur eyes salman khan only naphrat ke layak hai	0	0
3870	4956	Sallu bhai mera no. 9861674485 ye mera ijat ki sabal he bhai jaaaaaaaaaaaaaaaaAaaaaaaAaaaaaaaan	1	1
3555	4486	hi sallu bro....	1	1
2428	2884	Chalo.kuch nii bhai koi kaam me fas gye honge aap	1	1
2769	3460	hello chulbul ji..aye jaldi sbhi intazar kar kr rhe h apka	1	1
1564	1974	Assalaam waalaikum bhaijaan...	1	1
2399	2850	jb talak ap na aaoge m na jaunga FB se	1	1
1205	1544	Assalamu alaikum bhaijan	1	1
174	241	Kya pm bihar me aana. chahte hai	1	1
3444	4367	Are yar to to me ghar aawunga bhai biryani khane aa sakta hu na bhai	1	1
1209	1548	Tre bap ne bnai hoti tb b flop nhi hoti ssale,	0	0
256	376	India ka hal aisa hote jaiega to india may koi educated person nehi nicklegi	0	0
53	67	modi sir app pahale OBC president ho. OBC ke liye kuch karo. bad me koi kuch nahi karega	0	0
708	900	jo dusaro ko ganda bolte hai woh khud wahi hote hai	0	0
2609	3116	q jhoot bol raha bhai	1	1
2801	3594	Wow 40,000 cmnts keep it up paaglo koi ni aane wala	0	0
2299	2742	Bhai kaise ho?	1	1
1472	1871	India army bad India army ne sari am awrat ka ezat lotlya	0	0
2782	3492	RAB ko yaad karu ek fariyaad karu salman khan sir se baat karade ya RABBA salam khan sir ka deedar kara de ya RABBA. BHAI JAAN pls.wheting	1	1
569	755	Mortath kafir hy tu salman kanjr	0	0
452	631	tum milna chahte hi nahi kya mujhse	1	1
516	697	kya karne wale ho kuch soche bhi ya koi phark nahi padta	1	1
1412	1793	just awesome bonding pawan-munni	2	2
2864	3699	arbaaz bhi thik kehte the aap less puntual hai	2	2
3264	4183	Yess... bhaaijaan... hum aapke sath hai hamesha.. kuch b ho... love u sir g..	2	2
1549	1959	Bhai kha gayab hooo	1	1
2390	2841	Helo..bhia kaise ho...!! :)	1	1
2276	2718	Sir bhajrangi bhaijan....sabse achii film hogi.....boollywodd mein. ...I wish	2	2
30	40	Jai sri ram nama namo	1	1
3057	3964	Sallu bhai aaj apka dil garden garden kyu ho rha h....??? Koi to locha h....	2	2
1157	1480	aadab salman ji	1	1
3046	3948	Bhai  acha mazzak banaya aap ne aaj :-W	2	2
1326	1684	bhaijaan app itnai deer bad kyu promotion krte ho	1	1
3113	4030	To kya chayiye apko	1	1
3673	4653	Is film me hindu logo ki baout inshirt kari ha salman ne bajarangi ki wat lagi raki ha Sam to sam PK	0	0
861	1102	Main to nahi ye movie dekhuga Salman ki har ek movie dekhi but ye nahi dekhuga	0	0
3728	4729	Hi salman bai	1	1
3337	4258	Yr tum sab ko bahut takleef he bhai ki sadi. ..se. ..heiiiiinn?	0	0
3072	3981	Bina musalman ke hit ho jaye ga ye film samje	0	0
2715	3346	Mene bataya na ap logo ko ke aj bhaijaaN bat nai kar sakte kamar pe dard hn docter ne araam ka kaha hn ok frendz	1	1
2117	2550	Kab aaoge aap	1	1
1166	1492	Salman ab tak to hum aapke bohut bade fan the lekin ab nahi ..Kyon k aapne musalmaan bhaiyon ka bohut dil dukhaya hai I hate u..	0	0
717	909	salman khan fans is gaandu	0	0
597	785	Ap salman ich hai	1	1
1985	2416	Sir mai sab me se eak alag salg fan hu .Maine suna apka apharan huwa	1	1
2955	3826	Ohh aaj mara bhai roja #tc	2	2
2535	3008	mene socha tha ki  aap humesa such bolte he aur bhut acche h but aap bilkul bhi essaaa nhi he	1	1
3232	4150	ok boss apka hukum sir ankho pe	2	2
3013	3906	Love u salman kbse wati kar rahe h.	2	2
2518	2984	Ya fir Facebook crash kr denge	1	1
1878	2305	Bhaijaaaannnnn ab tuuuuu aajjjaa	1	1
2448	2905	Eid ke phle realese mt krna sir jee..	1	1
3108	4024	bhai kaha gum ho gye	1	1
2645	3171	sir main bohut gorib hu....plz muje ap ki pas bula lo..........?	1	1
945	1212	ye bhosdiwale bhagne vale nhi bc mc harami sale suwar ki olad	0	0
514	695	Sir mat bolo sale ko harami hai wo muslman ke name par dhabba hai sala saitan	0	0
1933	2361	4 toe hogaya na sir....	1	1
1369	1735	assala muwalekum vhai zahan	1	1
2859	3687	Kise.. aapna number de k jao sallu bhai...	2	2
314	466	Sir aap jo kam country ke lea kar rahe hai uske lie aapko badhi	2	2
2810	3612	Kya bakvas hai yar	2	2
1225	1566	Gret is gret khan salman	2	2
3287	4208	salman khan u r my god father...agr aap na hotey aaj m kuch na hota..	2	2
1559	1969	Aap ka bajrangi baijaan main aap ka naam kya hai	1	1
927	1191	Sllam bhai jaan EIDmubarakh.	1	1
345	506	acche din aa gye ............	2	2
2417	2872	Pavan kuman ...abhi toh ajao..	1	1
664	855	Nice bhai WHATSAAP number 03101419966 palz	2	2
2420	2875	aap ache ho na ? body shody bana rah ho na	1	1
2549	3024	Hi gyz me salu hun roop badal k aya hun	1	1
3561	4492	Vai apka koi vi filim hanne dekna nihei chora....	1	1
175	242	Sir ji kamal kardi apne vides me bhi.	2	2
1954	2383	6 min bhai	1	1
2308	2751	Aby bhai sarfaraz t hy dhoka nae dyga.	1	1
3006	3899	kya Sallu dost ko bhul gya kya	2	2
816	1045	loveu tooooo ur vey handsam	2	2
1289	1643	Sj Soriful kya bola teku itna hi pasand salman to tere ghar me rakh le usku	0	0
1675	2093	Salman bhai jan main apka wait kar rahi ho reply	1	1
2693	3293	How's ur back pain ryt now????? I m tensed....btao na plz salman aap to khe rhe the ki 4 pm baat kroge but aap to 1 bhi cmnt ka reply nhi diya plz is waale ka de dena plz... a request	1	1
1329	1688	Nicere vai sallu	2	2
2218	2654	4 baz gye...ab to ajao mere bhai.. :-(	1	1
1098	1405	Kye hal han Salman Bai	1	1
1660	2076	Humari dua apke sath hai bhaijaan apko kuch nhiho sakta	2	2
3092	4005	jhuti hi umid shi pr batta do sir fir kub milege	0	0
2452	2909	Upar waale ne insaan ko sbse upar kyaaa diya Dimaag diya hKyu diyaaa h Sochne k liye 2-4 gf side me rkhne k liye	1	1
1423	1805	Wah good video salman bhai 100 like deta ho like like like like like like like like like like like like like like like like like like like like Luke	2	2
3223	4141	qqq kiya aapne aisa	1	1
376	543	BJP ko lao beiapam karao phir mader ker aatam hatya batao	0	0
2532	3002	Bhai shahid ki bhi shadi ho gai aap kab kar rahe ho	1	1
2561	3043	kya hua bhAi	1	1
3509	4433	Salman ji aapki film super duper hit ho.sare record break kre.Ginnes book of record me naam ho jaye aapki film ka.Aap reply kro ,ya na kro ham to aapke liye pray krte hi rahenge.Amen!!!!	2	2
3324	4245	Ek the tiger bhi super hit hua Yarr sallu Bhai lekin there naam ka kia look ta app ka sallu Bhai ekdam radhe	1	1
1336	1696	3.30 cant wait........	1	1
3839	4900	Agar koi Fat khatam krna ya health bnana chahta ho ya body bnana chahta ho to plz contact me +919501037881	1	1
2704	3314	Assalam walaikum bhaijaan kaha ho aap	2	2
3647	4622	eid mubark salman bhai	2	2
533	715	sem 2 u	1	1
1863	2290	Oh ho kab bajega 4pm	1	1
642	832	luv u salman khan	2	2
2936	3798	salaam sir kaise ho aap kahan ho plz aa b joa	1	1
2245	2683	Salman plz cm?	1	1
542	725	pls mane call karo	1	1
776	987	Salman g agar ye msg dekh rahe hoto reply karo plz	1	1
2514	2978	Bhaijaan kahan ho..kat ki sath hai tum	1	1
993	1270	Eid ke din salman apni maiya chudae	0	0
1949	2378	Yeh 7 min toh khatam hi nhi hote. Aap kaha ho jaldi aa jao.	1	1
1811	2236	Ab sabr kab tak kare intezaar ki bhi hadd ho gyi	1	1
1165	1490	Aap sabki madad karte he meri friend ki help kar dije pliz	1	1
3464	4387	Salman bhai main apki baat ko samj saktahu aur yeh sab jhut hai	1	1
1722	2144	3:30 ka time tha	1	1
3874	4964	Cool movie bajarangi bhaijan osm ??	2	2
3706	4701	Eid mubarak ho bhai jaan	2	2
3781	4797	Vermaa phone utthao yaar ????	1	1
1307	1665	Nice bhaiYOU ARE THE BEST BEST BEST BEST BEST BEST BEST BEST BEST	2	2
3282	4202	Tension lene ka nhi bhai aapke fan ki koi kami nhi voh aapki film zaroor dekhenge	2	2
25	33	Wah wah maja aa gya !! Indian Govt. should host an International Hindi song compitition !! Tarrakki bahut ho gayi ab thoda entertainment ho jai, 'Kyo bhayio aur behno' ???	2	2
3377	4298	Bhaijaan yeh msg , apke Muslim brothers ho ghuma rahe hai apko badnam karne ke liye	0	0
2741	3389	Kabi nahe deka relpy wait mat karo	0	0
820	1052	sabse bada fan hu salman bhai aap ka	2	2
3235	4153	Salman khan me aapka wait kar rahi hu pliz	1	1
2227	2663	kisse karenge bro aapke to fan bhi bhut hai	1	1
3568	4499	gm sAllu bhai	1	1
3800	4824	Mujhe bhi batao kya kuch ata hai apko Neeta V Raj	1	1
1632	2045	bhaijaan hum bht pareshan h ye sunkar ki apko kisine kidnap kia h ap plz ek baar rpl kariye na.... pls bhaijaan	2	2
3070	3979	md.intjar.malik. bajrangi.bhijane. .i love.you. (786). bhijane.apki.film. no: 1 hogi.	2	2
298	442	Jo gau hatya band ni kar sakta woh hamare kam ka nehi	0	0
3448	4371	bhai utha lo isko	1	1
140	196	(gandhi)he iz a murderer. he killed subhas ch. bose	0	0
186	258	Hamare desh ko aage badhane vale, logo me utsah jagane, narendra modi ji ko bhagvan hamesha khush rakhe.	2	2
291	433	Mullo ko bhagao...TP mat karo	0	0
2249	2687	plllzzzzzz baat kijiye naaa i am waiting kab se	1	1
1133	1450	Bhai aapki movie hum hit karenge koi kare ya nare	2	2
969	1241	Weat karna padega	1	1
1111	1420	Mr. salman ajkal aap k setare gardish mai aapko sarf 8 hazar comment aate hai oh ho	2	2
2335	2779	Mujhe sirf itna puchna hai KiAap har waqt itne log aur bodyguardWe ghire rehte ho hum jese aap KOKaise mil sakte hai???????Please give answer.	1	1
1501	1909	salman ji ap kaha ho.plz ajao	1	1
565	750	Asslamu alyekum bhai ek bar jwab jarur do bhai	1	1
892	1148	salman is me dono hi maire favourite hai hanuman ji or salman ap ye movie hit nhi super hit hogi	2	2
2000	2432	aa jao na....plzzz	1	1
2292	2735	kya hua sir?	1	1
2628	3141	Ary bhai love. Phr jb b awo gy aunga. Ap ko request byjta hun link mel gya.	1	1
2796	3568	Ye umeed nahi this net khatam ho gya kya apka	0	0
3101	4017	Salman bhai aapne mera hi nai blki sab fans ka dil dukhaya hai	0	0
2020	2452	vai may Bangladesh se hu. may chatahu app ek bar ki lia Bangladesh me jorrur aenge	1	1
796	1017	Kutta harami madar chod bighrat salman to agar mje mil jai teri maa bhin ek kardonga	0	0
2557	3033	oye bhen ke bhaiyyo.. sallu bhai ki koi chiz fek nahi hoti.. samjhe kya	0	0
121	168	Modiji des ne aap pr bharosa jtaya hai aap hmari ummido pr khra utrna	2	2
2543	3018	Jaldi kar bhai	1	1
2379	2828	4 indian standard timing means 4:15 ? Pranam bhai ? ..	1	1
3125	4042	Ya allah ap abhi tak nahi aye salman :(	1	1
1932	2360	Jai ho bhai.	1	1
1599	2010	Jaldi aa jao Salu bhai.bhai aap kahan ho 4pm ho gaya...I'm waiting you bajrangi bhaijn...Aap bahut kamaal karte ho...	1	1
2902	3753	kitna paisa kama lega bajrangi	2	2
2637	3156	ohhh bhot intezar ho gya .....its 4:23sir....	1	1
1239	1585	Or uske khe bina uski baat samajh jate h	1	1
1084	1385	Tayyr,hai sllu bhaijaan	1	1
1287	1640	kyu movie me kuch glt dikhaya h kya	1	1
1971	2401	Bhai 4 mint	1	1
1368	1734	Aaj ki party meri trf se this eid	1	1
1626	2039	BHAIJAAN ... KAVVI KOLKATA may aoo .. apni fanzzzz say milne ... already Banjarangi bhaijaan MEGA ... HIT ...	2	2
3578	4514	Agar muslim ki nam badnam huya to teri page unlike kordun ga or kavi bi tere liye duya nahi karen ge#@Me sulltan@	0	0
3692	4679	salman kuthe dine islam ka gaddar sharam o haya ke hudud se dur hai	0	0
1171	1497	bhaijaan sultan m negtive role kiska h	1	1
1210	1549	Kya guarantee hai ki sab questions ka answer aap hi denge???koi dusra bhi toh de sakta hai???	1	1
1979	2410	ok ap chahe 5pm pe aana par online hona	1	1
483	664	hmmm taliyao ki awaz abi se meko sunayii se rahi hai hall mai sab sirf ek hi baat bolte hai wah bhai wahi mai sharmake chupke se hasti hu aur love u dilse	2	2
1768	2192	Aap ki baat hum sab ke sath:-) ;-) :-D	1	1
479	660	hi my cute bandar kha ho kya ho rha hai thik ho miss u sona miss u so much	2	2
2711	3330	4 baj gaye but rply abhi baaki hai	1	1
1821	2247	7,600th like :)	1	1
2503	2964	sir wanted ki sequel kab aa rahi sir tere naam ke baad wanted ke baad dabang ab bajrangi bhaijaan	1	1
399	567	Bahut achchhakarya aur bahut achchha Hamara sarkar	2	2
3280	4199	Main ne tu kbi in romurs py yakeen kiya hi ni tha Bhai jaan	0	0
3339	4260	Mere yeha ek ladka bhi nhi jayega movie dekhne	0	0
749	949	Salman bhai aap ye comments padhte ya reply karte ho ya nahi?	1	1
2593	3093	saaaaaavdhan salman bhai ko bulane ka formula laaya hoon... sirf 51 rupe do or sallu bhai se baat karo.. baba ka prasaad lo.. sirf 51 rupe	1	1
2689	3283	kasiy bt kary gy salu sb?	1	1
1873	2300	tu galat baat hai	1	1
1973	2403	Bhar do jholi meri salman bhai	1	1
1265	1613	Iam waiting bhaijaan	1	1
3857	4940	yr apne Shi nhi kiya musalmano ko chetavni dekar	0	0
1910	2338	Bhai jan jldi jkdi	1	1
692	884	Ap ne kya kia h Jo log itne bure coments de rhe han.mje ni pta.kya ap btae ge?	0	0
102	143	Respected sir aap aaj pure Bharat ki ummid ho ...ek naya savera aapne hi janta ko dikhaya he...ap dhup bhi nikaliye...	2	2
3505	4429	mujhe mil gaya haii.....	1	1
1178	1506	Bhosrdi k kya bolta hai musalmaan nich hai	0	0
2743	3392	I think SALMAN SIR is taking a nap... jago salman bhai jago, aapka fans kab se wait kar raha hain....!	1	1
499	680	meri koi ijjat thodi hai	0	0
1920	2348	salman bhai shadi kab karoge?	1	1
1515	1924	Aap msgs padh to rahe hoge pakka h NASA salman	1	1
3744	4749	Dekh rahe ho ya nehi?	1	1
1909	2337	Bhai aap ke liye kitna bhi wait krna pade karenge	1	1
259	384	Kewal ghumte raho aur india ka ko narak me badal do tumhara modi yahi kahani	0	0
970	1242	Ap sache wale being human ho bus apki yahi bt sabse Alag h...ap Surat se kuch Jada smart nhi PR dil se ess pure Bollywood m sundar ho....saf pakk dil h apke pass Jo etni dou	2	2
3129	4046	gud ni8 bhai	1	1
624	814	Han raakhi bhi tum sab hi bandhana ...Gazzab ladkiyan hain yaar!!!	2	2
413	584	Kash khuda unhe vo samaj do jo mazhab ka galat istmal karke ek ki jagah char char bibio se shadi karke, aurat ki majburi ka faida uthate hai	2	2
590	778	Bhai app bollywood king hokar apne app ko bajrangi bhaijan kya late ho Eid me a sob ko aacha nahi laga bohut sms araha ha is move ko mat dikho appne majhab ko chota kara ha kay a chsch ha?	0	0
258	381	modi sir....you come bihar.because neccessary to bjp government in bihar.......har har modi ghar ghar modi.....	1	1
52	66	jai ho bharat mata ki w hamari sanskriti ki jo videshi bhi apnate hai	2	2
3783	4799	Salman saale tu chorr h. Kamine kutte .	0	0
2595	3096	bhai mera rply jarur krna pehle hi bta du ;-)	1	1
275	402	SRIJI Jantar mantra padhare !aapko nyota hai !	1	1
2903	3754	Direct baat salman khan sir ke sath wooooooooo	2	2
3361	4282	chup karo paglo rulaoge kya .. senti batee karre sab :'(lolz	0	0
734	930	Harami kutta sala lanat ho tujpar	0	0
3117	4034	Dishta Jeetoo salman nahi reply karte hein hamare dil ko broken karte hein	0	0
1669	2085	sabki aan sabki shaan ek humra bhayi jaan salman khan . Best of luck for film salu	2	2
113	158	modi saab ye konsi country hai???	1	1
3539	4470	sala kuti ki olad	0	0
1223	1564	bhai....hum tumhare bareme sab jaante hai..kya question aur kya answer....we love you.....abto bss movie release ho...usi din jashn hoga....Eid mubarak in advance..........	2	2
2151	2584	4pm Salman kha ho	1	1
3298	4219	hme to phle hi pta tha salman aapke bare me sb jhut kha h... pr kuch akl k andhon ko kon smjhaye ....... i love u always salman ....i recpact u allways ......:-*:-*:-*:-*:-*:-*	2	2
2964	3839	meko lag rha hai ye salman kbhi reply nhi degi	2	2
3400	4322	bhaijaan love yoy	2	2
1610	2023	Bhai aap dildar ho m janta aapse bda koi ni h dil ka raja	2	2
3510	4434	Kya haal hain..pawan kumar chaturvedi g..urf. bajrangi bhai bhajaan	1	1
475	656	ache se samjha ke chali gyi aur mai so gayi	1	1
3642	4615	hy bodegurd you my friende.love you....	2	2
3802	4826	Owsome tune<3	2	2
1899	2327	Ek time mein sb sy kaisy krain gy baat	1	1
2324	2768	ok mere saath phn pe baat e karenge?ya whats app pe?boliye jaldi...	1	1
2132	2565	Bhai rolaoge kya aa v jao	1	1
2803	3599	bhai jaan me aap bhut badha fen ho sir me soch ta ho ki kabhi aap se miluga ya nahi  sir jingi ki ek hi khuais thi ki ek baar aap se milu	2	2
3719	4718	hurkuchhhhh ultimate ....blockbuster	2	2
931	1196	bhak chutiya sala bhosrdi k shar gairat naam ki koi chiz nhi kya re tujme	0	0
546	729	Bhar do jholi meri ya Muhammad mujhko Salman bhai se milado	2	2
334	492	Iske pas or to kam hai nhi chla hai for en country's	0	0
2301	2744	Bhai kya mazak hi ye 4.6 ho gye	1	1
2959	3832	good evening Mr. khan ... mai apki bout bout bdi fan hu..i love u so much bhaijaan..... bhagwan apko hr buri najar se bchaye or aap hmesha healthy rhe...  love u bhai.....	2	2
2866	3701	ek reply mujhe bi kardo bhai	2	2
3268	4187	ye tumse jalne walo k kaam h bhai	0	0
2625	3138	Ab aa bhi jao bhaijaan	2	2
2253	2692	kya hua bhaijan..?????????.	1	1
2483	2942	vai jan ek ber batyan e koro	1	1
1739	2162	apne bola tha 3:30 n now 4pm :'(	1	1
959	1230	wâ€¦ise tu boli nai ki hai kaha se	1	1
3590	4533	Shahid kapoor ne tumhe invite nahi kiya @BB	0	0
374	541	Ghar Ghar modi hi modi .Jaha logo ki soch khatm hoti hai modi Ji waha se sochana suru karte hai .	2	2
1853	2280	Mery chanda jaldi kr.	1	1
1432	1815	Salman bhai ka sirf naam hi kafi hai film apen Aap blockbuster ho jati hai	2	2
967	1239	Salman muzhe mere sawal ka jawab cahiye hum nich to tu kon akher tu bhi muslim h na most reply	0	0
28	38	Sir yeh tho sirf aap hi kar sakte hai. Great sir	2	2
1585	1995	hum to taiyar hai	1	1
1389	1764	super duper hit hoga bajrangi bhaijaan ye meri dua hai.	2	2
3049	3951	Insha Allah blockbuster hoge bhai abki bar 300 cross Paar bajrangi bhaijaan	2	2
2067	2499	Bhai plz aao jaldi	1	1
2041	2473	Aap bhi bohot handsome lag rahe the aur baachhi bhi bohot cute thi. Charming song. Mazza aa gayi thi. :) :) :)	1	1
575	761	salman khan nice	2	2
1875	2302	ap hi sach boldo ye sab photo wagaire sahi hai ki nhi	1	1
2891	3739	tum achi acting krta h	2	2
2160	2593	Ind k 4 bje ya pk k 4 bje ;)	1	1
755	957	Hi salman ji me apka bahut bada frend hu	2	2
1194	1531	Aap ki new film ka mein besabri se intzar kar raha hu please jab film release hogi to website post kar dena ta jo ham aap ki super duper hit film dowload kar sake	2	2
123	170	India ke sabse lokpriy pm modi ji mai aapse request kartahu pm banne ke baad aap mp ke satna nahi aaye please aap jab bhi mp aaye satna aagman ko acsept kar lijiye. Thanku	1	1
3685	4672	Randiko ban ko film kab release horaha hein	1	1
2998	3887	Agr replay nhi diya to me maggy khalunga	0	0
471	652	i sapourt u saloo bhai i hole u r bajrangi bhaijan it's going	2	2
3180	4098	Kb bjenge tumhare 4 salman ? ??	1	1
669	860	Bhai apky chryti so me allho pyyr keep pas he apmuslim hokr galt kr rhy ho khuda hafij	0	0
1293	1649	Shahrukh Gouri galat news hai woh..... dont believe....usne aisa nahi kaha	1	1
596	784	Ap shdi kr loooo	1	1
3379	4300	sir kasam sy may apkay movies ka muntazir hon.sir apki torri si role bi mjy achi lagti hy...sir mjy bhulaao pllzzz sir	2	2
3486	4410	Book kr diya bhai	1	1
2994	3882	ullu bna rhe hai bajrangi bhai	2	2
1122	1437	yaaahi bhut bari party he ap ki taraaaf se	1	1
1808	2233	abe kutte tere se kon baat karega	0	0
810	1038	ALLAH aap ko har taraf se kameyabi de	2	2
3177	4095	Salman tera garoo bhi too tega tujhe fakre hai aapne Filme pe dekhe lena eid ka din tum hara filme koye bhi musalman nahi dekhe ga kiya budha to 50 ka hogaya...	0	0
318	470	modi g ke jajbe ko koti koti naman	2	2
2131	2564	bhajrangi bhaijan official page me jao baat karne k liye	1	1
2370	2819	Bhai kaha ho aajao	1	1
1085	1386	sem 2u bhai	1	1
2807	3608	salman bhai asslam alykum	1	1
432	608	Kaheytey ho ki muslim fans pic nahi dekhey to bhi hit hogi	0	0
1924	2352	Neha sapne aCHCHE H MAGR YAD RAHE SAPNE SUCH NI HOTEY	1	1
900	1159	lov you salman	2	2
126	175	Hindustan ka sher p.m modi jo har country ko apne desh khobiyo se intro karwana chahata haijay hind	2	2
2654	3191	Sir kya mujh gareeb ko aik reply melay ga plz ....?	1	1
3415	4337	Salman bhai don't worry. Aane do salo ko aisa khinch ke denge ki bhool jaayenge ki saans kaha se le aur pa#*e kaha se....	0	0
611	801	dhasu lag rahe ho salman bro miss you...........	2	2
760	963	Love love love	2	2
288	427	Sir aap aage chalo hum aapke saat he	2	2
1164	1488	salman bhaijaan eid mubarak aapko ho	1	1
720	914	Salmon bhai mai Apki boooooohat bari fan hn.	2	2
245	361	Modi ji ek aise shashank hai jo wacky ki hindustan ko hindustan he bana rahi hai ab jaake hindustan taraqqi kar raha hai I love modi sarkar	2	2
1710	2130	Bajrangi bhaijaan is awsome	2	2
3524	4452	gud see vaaijaan	2	2
1156	1478	I don't like salman khan madharchod randy ka ladka harami kafir	0	0
3697	4687	Shukriya Bhaijaaaaan... Mere bday pe aj tak mila huva Sabse pyara tohfa.... Bajrangi Bhaijaaaaan....	2	2
2672	3243	Abhe 2 mint han yaar	1	1
1907	2335	Bhaijaan I'm eagerly waiting	1	1
552	735	Aap to yaar supr hiro ho	2	2
2344	2789	bhai 2 din se wait kar raha ho aab to comment karo	1	1
